base,ligand,solvent,concentration,temperature,yield,cost
CsOPiv,X-Phos,BuCN,0.1,105,68.53,0.139211319
KOAc,BrettPhos,BuOAc,0.1,105,17.09,0.157572457
KOAc,PPhtBu2,BuOAc,0.1,105,0.0,0.05491753
KOAc,tBPh-CPhos,BuOAc,0.1,105,0.0,0.280628815
KOAc,PCy3 HBF4,BuOAc,0.1,105,0.0,0.043876303
KOAc,PPh3,BuOAc,0.1,105,3.41,0.038027567
KOAc,X-Phos,BuOAc,0.1,105,64.62,0.046569203
KOPiv,BrettPhos,BuOAc,0.1,105,49.22,0.156658874
KOPiv,PPhtBu2,BuOAc,0.1,105,0.0,0.05382323
KOPiv,tBPh-CPhos,BuOAc,0.1,105,22.75,0.279662474
KOPiv,PCy3 HBF4,BuOAc,0.1,105,0.0,0.042782003
KOPiv,PPh3,BuOAc,0.1,105,1.92,0.036924887
KOPiv,X-Phos,BuOAc,0.1,105,48.25,0.045382829
CsOAc,BrettPhos,BuOAc,0.1,105,26.64,0.203126617
CsOAc,PPhtBu2,BuOAc,0.1,105,0.0,0.100417976
CsOAc,tBPh-CPhos,BuOAc,0.1,105,0.0,0.326129261
CsOAc,PCy3 HBF4,BuOAc,0.1,105,0.0,0.089376749
CsOAc,PPh3,BuOAc,0.1,105,4.22,0.083532569
CsOAc,X-Phos,BuOAc,0.1,105,86.43,0.092192321
CsOPiv,BrettPhos,BuOAc,0.1,105,27.48,0.244004608
CsOPiv,PPhtBu2,BuOAc,0.1,105,0.0,0.1412912419999999
CsOPiv,tBPh-CPhos,BuOAc,0.1,105,15.16,0.367087796
CsOPiv,PCy3 HBF4,BuOAc,0.1,105,0.0,0.130250015
CsOPiv,PPh3,BuOAc,0.1,105,0.91,0.124387218
CsOPiv,X-Phos,BuOAc,0.1,105,59.92,0.13291648
KOAc,BrettPhos,p-Xylene,0.1,105,16.44,0.148146224
KOAc,PPhtBu2,p-Xylene,0.1,105,0.0,0.045527419
KOAc,tBPh-CPhos,p-Xylene,0.1,105,6.39,0.271262026
KOAc,PCy3 HBF4,p-Xylene,0.1,105,0.0,0.034486192
KOAc,PPh3,p-Xylene,0.1,105,2.06,0.028625795
KOAc,X-Phos,p-Xylene,0.1,105,43.76,0.036975345
KOPiv,BrettPhos,p-Xylene,0.1,105,29.17,0.147098385
KOPiv,PPhtBu2,p-Xylene,0.1,105,0.0,0.04443312
KOPiv,tBPh-CPhos,p-Xylene,0.1,105,14.92,0.270198859
KOPiv,PCy3 HBF4,p-Xylene,0.1,105,0.0,0.033391893
KOPiv,PPh3,p-Xylene,0.1,105,1.41,0.027529123
KOPiv,X-Phos,p-Xylene,0.1,105,35.07,0.035849329
CsOAc,BrettPhos,p-Xylene,0.1,105,40.03,0.193732767
CsOAc,PPhtBu2,p-Xylene,0.1,105,0.0,0.091027866
CsOAc,tBPh-CPhos,p-Xylene,0.1,105,19.51,0.316810357
CsOAc,PCy3 HBF4,p-Xylene,0.1,105,0.55,0.079988646
CsOAc,PPh3,p-Xylene,0.1,105,10.5,0.074157045
CsOAc,X-Phos,p-Xylene,0.1,105,67.17,0.082561232
CsOPiv,BrettPhos,p-Xylene,0.1,105,21.54,0.23453855
CsOPiv,PPhtBu2,p-Xylene,0.1,105,0.0,0.131901132
CsOPiv,tBPh-CPhos,p-Xylene,0.1,105,28.65,0.357716982
CsOPiv,PCy3 HBF4,p-Xylene,0.1,105,0.0,0.120859905
CsOPiv,PPh3,p-Xylene,0.1,105,0.66,0.114994397
CsOPiv,X-Phos,p-Xylene,0.1,105,53.63,0.12338508
KOAc,BrettPhos,DMAc,0.1,90,5.22,0.145774761
KOAc,PPhtBu2,DMAc,0.1,90,0.0,0.04320091
KOAc,tBPh-CPhos,DMAc,0.1,90,47.03,0.269047772
KOAc,PCy3 HBF4,DMAc,0.1,90,1.71,0.0321646129999999
KOAc,PPh3,DMAc,0.1,90,14.29,0.026332962
KOAc,X-Phos,DMAc,0.1,90,38.03,0.034598755
KOPiv,BrettPhos,DMAc,0.1,90,0.0,0.144665413
KOPiv,PPhtBu2,DMAc,0.1,90,0.0,0.042106611
KOPiv,tBPh-CPhos,DMAc,0.1,90,10.12,0.267847069
KOPiv,PCy3 HBF4,DMAc,0.1,90,3.01,0.031074061
KOPiv,PPh3,DMAc,0.1,90,38.78,0.025309262
KOPiv,X-Phos,DMAc,0.1,90,55.17,0.033553867
CsOAc,BrettPhos,DMAc,0.1,90,4.23,0.191272353
CsOAc,PPhtBu2,DMAc,0.1,90,0.0,0.088701357
CsOAc,tBPh-CPhos,DMAc,0.1,90,17.74,0.314463782
CsOAc,PCy3 HBF4,DMAc,0.1,90,4.02,0.077671718
CsOAc,PPh3,DMAc,0.1,90,32.36,0.0718855
CsOAc,X-Phos,DMAc,0.1,90,84.17,0.080232213
CsOPiv,BrettPhos,DMAc,0.1,90,0.0,0.232133425
CsOPiv,PPhtBu2,DMAc,0.1,90,0.0,0.129574623
CsOPiv,tBPh-CPhos,DMAc,0.1,90,4.77,0.355299658
CsOPiv,PCy3 HBF4,DMAc,0.1,90,3.69,0.118544033
CsOPiv,PPh3,DMAc,0.1,90,33.59,0.112762312
CsOPiv,X-Phos,DMAc,0.1,90,22.94,0.120928967
KOAc,BrettPhos,BuCN,0.1,90,9.66,0.1636561819999999
KOAc,PPhtBu2,BuCN,0.1,90,0.0,0.061023208
KOAc,tBPh-CPhos,BuCN,0.1,90,4.61,0.286769889
KOAc,PCy3 HBF4,BuCN,0.1,90,0.0,0.049981981
KOAc,PPh3,BuCN,0.1,90,2.83,0.044135794
KOAc,X-Phos,BuCN,0.1,90,26.5,0.052514893
KOPiv,BrettPhos,BuCN,0.1,90,39.5,0.162790999
KOPiv,PPhtBu2,BuCN,0.1,90,0.95,0.059936203
KOPiv,tBPh-CPhos,BuCN,0.1,90,6.69,0.28569156
KOPiv,PCy3 HBF4,BuCN,0.1,90,0.0,0.048887681
KOPiv,PPh3,BuCN,0.1,90,2.48,0.043038807
KOPiv,X-Phos,BuCN,0.1,90,45.95,0.051569934
CsOAc,BrettPhos,BuCN,0.1,90,48.21,0.209452622
CsOAc,PPhtBu2,BuCN,0.1,90,0.0,0.106523654
CsOAc,tBPh-CPhos,BuCN,0.1,90,6.27,0.332283081
CsOAc,PCy3 HBF4,BuCN,0.1,90,0.0,0.095482427
CsOAc,PPh3,BuCN,0.1,90,5.8,0.089659045
CsOAc,X-Phos,BuCN,0.1,90,86.37,0.098475032
CsOPiv,BrettPhos,BuCN,0.1,90,48.64,0.25032919
CsOPiv,PPhtBu2,BuCN,0.1,90,0.0,0.14739692
CsOPiv,tBPh-CPhos,BuCN,0.1,90,5.29,0.373148823
CsOPiv,PCy3 HBF4,BuCN,0.1,90,0.0,0.136355693
CsOPiv,PPh3,BuCN,0.1,90,1.9,0.130502366
CsOPiv,X-Phos,BuCN,0.1,90,69.11,0.139215773
KOAc,BrettPhos,BuOAc,0.1,90,20.73,0.15759293
KOAc,PPhtBu2,BuOAc,0.1,90,0.0,0.05491753
KOAc,tBPh-CPhos,BuOAc,0.1,90,0.0,0.280628815
KOAc,PCy3 HBF4,BuOAc,0.1,90,0.0,0.043876303
KOAc,PPh3,BuOAc,0.1,90,1.19,0.03801508
KOAc,X-Phos,BuOAc,0.1,90,28.11,0.04636385
KOPiv,BrettPhos,BuOAc,0.1,90,30.95,0.156556113
KOPiv,PPhtBu2,BuOAc,0.1,90,0.0,0.05382323
KOPiv,tBPh-CPhos,BuOAc,0.1,90,0.0,0.279534515
KOPiv,PCy3 HBF4,BuOAc,0.1,90,0.0,0.042782003
KOPiv,PPh3,BuOAc,0.1,90,0.65,0.036917743
KOPiv,X-Phos,BuOAc,0.1,90,42.3,0.045349363
CsOAc,BrettPhos,BuOAc,0.1,90,29.21,0.203141073
CsOAc,PPhtBu2,BuOAc,0.1,90,0.0,0.100417976
CsOAc,tBPh-CPhos,BuOAc,0.1,90,0.0,0.326129261
CsOAc,PCy3 HBF4,BuOAc,0.1,90,0.0,0.089376749
CsOAc,PPh3,BuOAc,0.1,90,1.9,0.08351952
CsOAc,X-Phos,BuOAc,0.1,90,85.24,0.092185628
CsOPiv,BrettPhos,BuOAc,0.1,90,23.75,0.243983628
CsOPiv,PPhtBu2,BuOAc,0.1,90,0.0,0.1412912419999999
CsOPiv,tBPh-CPhos,BuOAc,0.1,90,0.0,0.367002527
CsOPiv,PCy3 HBF4,BuOAc,0.1,90,0.0,0.130250015
CsOPiv,PPh3,BuOAc,0.1,90,0.26,0.124383562
CsOPiv,X-Phos,BuOAc,0.1,90,3.0,0.132596329
KOAc,BrettPhos,p-Xylene,0.1,90,17.92,0.148151625
KOAc,PPhtBu2,p-Xylene,0.1,90,0.0,0.045527419
KOAc,tBPh-CPhos,p-Xylene,0.1,90,7.34,0.271265493
KOAc,PCy3 HBF4,p-Xylene,0.1,90,0.0,0.034486192
KOAc,PPh3,p-Xylene,0.1,90,0.55,0.028620284
KOAc,X-Phos,p-Xylene,0.1,90,25.5,0.036908701
KOPiv,BrettPhos,p-Xylene,0.1,90,38.12,0.14713105
KOPiv,PPhtBu2,p-Xylene,0.1,90,0.0,0.04443312
KOPiv,tBPh-CPhos,p-Xylene,0.1,90,23.22,0.270229152
KOPiv,PCy3 HBF4,p-Xylene,0.1,90,0.0,0.033391893
KOPiv,PPh3,p-Xylene,0.1,90,0.32,0.027525144
KOPiv,X-Phos,p-Xylene,0.1,90,26.33,0.03581743
CsOAc,BrettPhos,p-Xylene,0.1,90,42.45,0.1937416
CsOAc,PPhtBu2,p-Xylene,0.1,90,0.0,0.091027866
CsOAc,tBPh-CPhos,p-Xylene,0.1,90,20.04,0.316812291
CsOAc,PCy3 HBF4,p-Xylene,0.1,90,0.0,0.079986639
CsOAc,PPh3,p-Xylene,0.1,90,5.91,0.074140292
CsOAc,X-Phos,p-Xylene,0.1,90,59.27,0.082532399
CsOPiv,BrettPhos,p-Xylene,0.1,90,19.39,0.234530703
CsOPiv,PPhtBu2,p-Xylene,0.1,90,0.0,0.131901132
CsOPiv,tBPh-CPhos,p-Xylene,0.1,90,31.97,0.357729099
CsOPiv,PCy3 HBF4,p-Xylene,0.1,90,0.0,0.120859905
CsOPiv,PPh3,p-Xylene,0.1,90,0.0,0.114991988
CsOPiv,X-Phos,p-Xylene,0.1,90,36.98,0.123324312
KOAc,BrettPhos,DMAc,0.1,120,5.03,0.145774213
KOAc,PPhtBu2,DMAc,0.1,120,7.71,0.043223137
KOAc,tBPh-CPhos,DMAc,0.1,120,82.09,0.269148843
KOAc,PCy3 HBF4,DMAc,0.1,120,24.56,0.032230484
KOAc,PPh3,DMAc,0.1,120,74.04,0.026505208
KOAc,X-Phos,DMAc,0.1,120,88.41,0.03474399
KOPiv,BrettPhos,DMAc,0.1,120,0.26,0.144666163
KOPiv,PPhtBu2,DMAc,0.1,120,28.53,0.042188856
KOPiv,tBPh-CPhos,DMAc,0.1,120,68.33,0.268014876
KOPiv,PCy3 HBF4,DMAc,0.1,120,47.58,0.031202546
KOPiv,PPh3,DMAc,0.1,120,86.46,0.025446713
KOPiv,X-Phos,DMAc,0.1,120,80.61,0.033627204
CsOAc,BrettPhos,DMAc,0.1,120,4.08,0.191271921
CsOAc,PPhtBu2,DMAc,0.1,120,12.35,0.088736959
CsOAc,tBPh-CPhos,DMAc,0.1,120,62.6,0.314593104
CsOAc,PCy3 HBF4,DMAc,0.1,120,44.53,0.0777885
CsOAc,PPh3,DMAc,0.1,120,87.32,0.072043938
CsOAc,X-Phos,DMAc,0.1,120,84.81,0.080234058
CsOPiv,BrettPhos,DMAc,0.1,120,0.0,0.232133425
CsOPiv,PPhtBu2,DMAc,0.1,120,1.31,0.129578399
CsOPiv,tBPh-CPhos,DMAc,0.1,120,17.43,0.355336154
CsOPiv,PCy3 HBF4,DMAc,0.1,120,27.93,0.118613912
CsOPiv,PPh3,DMAc,0.1,120,76.33,0.112885522
CsOPiv,X-Phos,DMAc,0.1,120,48.15,0.121001641
KOAc,BrettPhos,BuCN,0.1,120,29.25,0.163806598
KOAc,PPhtBu2,BuCN,0.1,120,0.0,0.061023208
KOAc,tBPh-CPhos,BuCN,0.1,120,8.4,0.28679899
KOAc,PCy3 HBF4,BuCN,0.1,120,1.96,0.04999703
KOAc,PPh3,BuCN,0.1,120,12.65,0.044211194
KOAc,X-Phos,BuCN,0.1,120,56.57,0.052745776
KOPiv,BrettPhos,BuCN,0.1,120,50.79,0.162877686
KOPiv,PPhtBu2,BuCN,0.1,120,0.0,0.059928908
KOPiv,tBPh-CPhos,BuCN,0.1,120,6.44,0.285689641
KOPiv,PCy3 HBF4,BuCN,0.1,120,3.28,0.048912866
KOPiv,PPh3,BuCN,0.1,120,9.59,0.043093399
KOPiv,X-Phos,BuCN,0.1,120,50.93,0.051608171
CsOAc,BrettPhos,BuCN,0.1,120,69.13,0.20961325
CsOAc,PPhtBu2,BuCN,0.1,120,0.0,0.106523654
CsOAc,tBPh-CPhos,BuCN,0.1,120,7.69,0.332293985
CsOAc,PCy3 HBF4,BuCN,0.1,120,3.8,0.095511604
CsOAc,PPh3,BuCN,0.1,120,13.09,0.089715019
CsOAc,X-Phos,BuCN,0.1,120,84.17,0.09845814
CsOPiv,BrettPhos,BuCN,0.1,120,46.53,0.250312989
CsOPiv,PPhtBu2,BuCN,0.1,120,0.0,0.14739692
CsOPiv,tBPh-CPhos,BuCN,0.1,120,5.3,0.3731489
CsOPiv,PCy3 HBF4,BuCN,0.1,120,3.1,0.136379496
CsOPiv,PPh3,BuCN,0.1,120,7.36,0.130544289
CsOPiv,X-Phos,BuCN,0.1,120,59.81,0.139144366
KOAc,BrettPhos,BuOAc,0.1,120,25.86,0.157621784
KOAc,PPhtBu2,BuOAc,0.1,120,0.0,0.05491753
KOAc,tBPh-CPhos,BuOAc,0.1,120,0.0,0.280628815
KOAc,PCy3 HBF4,BuOAc,0.1,120,0.0,0.043876303
KOAc,PPh3,BuOAc,0.1,120,7.89,0.038052765
KOAc,X-Phos,BuOAc,0.1,120,73.71,0.04662033
KOPiv,BrettPhos,BuOAc,0.1,120,43.18,0.1566249019999999
KOPiv,PPhtBu2,BuOAc,0.1,120,0.0,0.05382323
KOPiv,tBPh-CPhos,BuOAc,0.1,120,0.0,0.279534515
KOPiv,PCy3 HBF4,BuOAc,0.1,120,0.0,0.042782003
KOPiv,PPh3,BuOAc,0.1,120,4.23,0.036937879
KOPiv,X-Phos,BuOAc,0.1,120,66.49,0.045485421
CsOAc,BrettPhos,BuOAc,0.1,120,35.91,0.203178757
CsOAc,PPhtBu2,BuOAc,0.1,120,0.0,0.100417976
CsOAc,tBPh-CPhos,BuOAc,0.1,120,0.0,0.326129261
CsOAc,PCy3 HBF4,BuOAc,0.1,120,0.03,0.089376918
CsOAc,PPh3,BuOAc,0.1,120,4.94,0.083536619
CsOAc,X-Phos,BuOAc,0.1,120,2.79,0.091721882
CsOPiv,BrettPhos,BuOAc,0.1,120,51.99,0.244142466
CsOPiv,PPhtBu2,BuOAc,0.1,120,0.0,0.1412912419999999
CsOPiv,tBPh-CPhos,BuOAc,0.1,120,19.42,0.367111757
CsOPiv,PCy3 HBF4,BuOAc,0.1,120,1.37,0.130257721
CsOPiv,PPh3,BuOAc,0.1,120,2.49,0.124396105
CsOPiv,X-Phos,BuOAc,0.1,120,52.22,0.13287317
KOAc,BrettPhos,p-Xylene,0.1,120,18.55,0.148153925
KOAc,PPhtBu2,p-Xylene,0.1,120,0.0,0.045527419
KOAc,tBPh-CPhos,p-Xylene,0.1,120,5.69,0.271259471
KOAc,PCy3 HBF4,p-Xylene,0.1,120,0.0,0.034486192
KOAc,PPh3,p-Xylene,0.1,120,5.94,0.028639956
KOAc,X-Phos,p-Xylene,0.1,120,67.04,0.037060311
KOPiv,BrettPhos,p-Xylene,0.1,120,37.36,0.147128277
KOPiv,PPhtBu2,p-Xylene,0.1,120,0.0,0.04443312
KOPiv,tBPh-CPhos,p-Xylene,0.1,120,20.87,0.270220575
KOPiv,PCy3 HBF4,p-Xylene,0.1,120,0.0,0.033391893
KOPiv,PPh3,p-Xylene,0.1,120,4.48,0.027540327
KOPiv,X-Phos,p-Xylene,0.1,120,44.74,0.035884622
CsOAc,BrettPhos,p-Xylene,0.1,120,28.93,0.193692255
CsOAc,PPhtBu2,p-Xylene,0.1,120,0.0,0.091027866
CsOAc,tBPh-CPhos,p-Xylene,0.1,120,16.09,0.316797875
CsOAc,PCy3 HBF4,p-Xylene,0.1,120,2.98,0.079997515
CsOAc,PPh3,p-Xylene,0.1,120,16.64,0.074179454
CsOAc,X-Phos,p-Xylene,0.1,120,67.17,0.082561232
CsOPiv,BrettPhos,p-Xylene,0.1,120,25.35,0.234552455
CsOPiv,PPhtBu2,p-Xylene,0.1,120,0.0,0.131901132
CsOPiv,tBPh-CPhos,p-Xylene,0.1,120,23.77,0.357699171
CsOPiv,PCy3 HBF4,p-Xylene,0.1,120,0.69,0.120862423
CsOPiv,PPh3,p-Xylene,0.1,120,2.69,0.115001806
CsOPiv,X-Phos,p-Xylene,0.1,120,55.8,0.123393
KOAc,BrettPhos,DMAc,0.057,90,3.6,0.155897722
KOAc,PPhtBu2,DMAc,0.057,90,0.0,0.053328542
KOAc,tBPh-CPhos,DMAc,0.057,90,57.27,0.279204924
KOAc,PCy3 HBF4,DMAc,0.057,90,3.4,0.042297116
KOAc,PPh3,DMAc,0.057,90,19.55,0.036475757
KOAc,X-Phos,DMAc,0.057,90,43.2,0.044741291
KOPiv,BrettPhos,DMAc,0.057,90,0.0,0.154793045
KOPiv,PPhtBu2,DMAc,0.057,90,0.0,0.052234242
KOPiv,tBPh-CPhos,DMAc,0.057,90,12.23,0.277980784
KOPiv,PCy3 HBF4,DMAc,0.057,90,5.85,0.041209879
KOPiv,PPh3,DMAc,0.057,90,46.46,0.035459033
KOPiv,X-Phos,DMAc,0.057,90,52.77,0.043674579
CsOAc,BrettPhos,DMAc,0.057,90,1.96,0.201393441
CsOAc,PPhtBu2,DMAc,0.057,90,0.0,0.098828988
CsOAc,tBPh-CPhos,DMAc,0.057,90,31.18,0.324630158
CsOAc,PCy3 HBF4,DMAc,0.057,90,8.04,0.087810939
CsOAc,PPh3,DMAc,0.057,90,36.96,0.082026393
CsOAc,X-Phos,DMAc,0.057,90,79.33,0.090345892
CsOPiv,BrettPhos,DMAc,0.057,90,0.0,0.242261057
CsOPiv,PPhtBu2,DMAc,0.057,90,0.0,0.139702254
CsOPiv,tBPh-CPhos,DMAc,0.057,90,5.29,0.365428789
CsOPiv,PCy3 HBF4,DMAc,0.057,90,6.38,0.128679419
CsOPiv,PPh3,DMAc,0.057,90,44.96,0.122922721
CsOPiv,X-Phos,DMAc,0.057,90,23.71,0.131058818
KOAc,BrettPhos,BuCN,0.057,90,6.26,0.186487971
KOAc,PPhtBu2,BuCN,0.057,90,0.0,0.083881103
KOAc,tBPh-CPhos,BuCN,0.057,90,5.62,0.309635539
KOAc,PCy3 HBF4,BuCN,0.057,90,0.0,0.072839876
KOAc,PPh3,BuCN,0.057,90,4.3,0.067004976
KOAc,X-Phos,BuCN,0.057,90,18.72,0.0753130509999999
KOPiv,BrettPhos,BuCN,0.057,90,29.57,0.18557265
KOPiv,PPhtBu2,BuCN,0.057,90,0.0,0.0827868029999999
KOPiv,tBPh-CPhos,BuCN,0.057,90,5.62,0.308541239
KOPiv,PCy3 HBF4,BuCN,0.057,90,0.14,0.071746651
KOPiv,PPh3,BuCN,0.057,90,5.92,0.065923115
KOPiv,X-Phos,BuCN,0.057,90,30.83,0.074311735
CsOAc,BrettPhos,BuCN,0.057,90,36.72,0.232222295
CsOAc,PPhtBu2,BuCN,0.057,90,0.0,0.129381549
CsOAc,tBPh-CPhos,BuCN,0.057,90,6.57,0.35514328
CsOAc,PCy3 HBF4,BuCN,0.057,90,0.28,0.118342472
CsOAc,PPh3,BuCN,0.057,90,6.56,0.112522775
CsOAc,X-Phos,BuCN,0.057,90,72.9,0.121229502
CsOPiv,BrettPhos,BuCN,0.057,90,37.58,0.273102164
CsOPiv,PPhtBu2,BuCN,0.057,90,0.0,0.170254815
CsOPiv,tBPh-CPhos,BuCN,0.057,90,4.89,0.396003646
CsOPiv,PCy3 HBF4,BuCN,0.057,90,0.86,0.1592201909999999
CsOPiv,PPh3,BuCN,0.057,90,5.19,0.153385522
CsOPiv,X-Phos,BuCN,0.057,90,40.02,0.161850309
KOAc,BrettPhos,BuOAc,0.057,90,17.54,0.176132882
KOAc,PPhtBu2,BuOAc,0.057,90,0.0,0.073475425
KOAc,tBPh-CPhos,BuOAc,0.057,90,2.72,0.299202009
KOAc,PCy3 HBF4,BuOAc,0.057,90,0.0,0.062434198
KOAc,PPh3,BuOAc,0.057,90,1.27,0.056573425
KOAc,X-Phos,BuOAc,0.057,90,32.71,0.064947618
KOPiv,BrettPhos,BuOAc,0.057,90,61.94,0.175288313
KOPiv,PPhtBu2,BuOAc,0.057,90,0.0,0.072381125
KOPiv,tBPh-CPhos,BuOAc,0.057,90,17.9,0.29819309
KOPiv,PCy3 HBF4,BuOAc,0.057,90,0.0,0.061339898
KOPiv,PPh3,BuOAc,0.057,90,0.05,0.055472263
KOPiv,X-Phos,BuOAc,0.057,90,68.86,0.064056646
CsOAc,BrettPhos,BuOAc,0.057,90,22.92,0.221663589
CsOAc,PPhtBu2,BuOAc,0.057,90,0.0,0.118975871
CsOAc,tBPh-CPhos,BuOAc,0.057,90,7.84,0.344731253
CsOAc,PCy3 HBF4,BuOAc,0.057,90,0.0,0.107934644
CsOAc,PPh3,BuOAc,0.057,90,1.03,0.102072521
CsOAc,X-Phos,BuOAc,0.057,90,61.71,0.110611176
CsOPiv,BrettPhos,BuOAc,0.057,90,28.74,0.26256959
CsOPiv,PPhtBu2,BuOAc,0.057,90,0.0,0.159849137
CsOPiv,tBPh-CPhos,BuOAc,0.057,90,16.51,0.385653284
CsOPiv,PCy3 HBF4,BuOAc,0.057,90,0.0,0.14880791
CsOPiv,PPh3,BuOAc,0.057,90,0.43,0.142942413
CsOPiv,X-Phos,BuOAc,0.057,90,62.34,0.151487986
KOAc,BrettPhos,p-Xylene,0.057,90,12.39,0.159899863
KOAc,PPhtBu2,p-Xylene,0.057,90,0.0,0.05729584
KOAc,tBPh-CPhos,p-Xylene,0.057,90,6.98,0.283032601
KOAc,PCy3 HBF4,p-Xylene,0.057,90,0.0,0.046254613
KOAc,PPh3,p-Xylene,0.057,90,0.24,0.040387573
KOAc,X-Phos,p-Xylene,0.057,90,22.31,0.048665479
KOPiv,BrettPhos,p-Xylene,0.057,90,38.68,0.158901515
KOPiv,PPhtBu2,p-Xylene,0.057,90,0.0,0.056201541
KOPiv,tBPh-CPhos,p-Xylene,0.057,90,19.77,0.281984981
KOPiv,PCy3 HBF4,p-Xylene,0.057,90,0.0,0.045160314
KOPiv,PPh3,p-Xylene,0.057,90,0.04,0.039292543
KOPiv,X-Phos,p-Xylene,0.057,90,23.45,0.04757534
CsOAc,BrettPhos,p-Xylene,0.057,90,25.62,0.205448596
CsOAc,PPhtBu2,p-Xylene,0.057,90,0.0,0.102796287
CsOAc,tBPh-CPhos,p-Xylene,0.057,90,16.76,0.328568741
CsOAc,PCy3 HBF4,p-Xylene,0.057,90,0.0,0.09175506
CsOAc,PPh3,p-Xylene,0.057,90,2.04,0.085894589
CsOAc,X-Phos,p-Xylene,0.057,90,53.43,0.094279506
CsOPiv,BrettPhos,p-Xylene,0.057,90,21.8,0.24630792
CsOPiv,PPhtBu2,p-Xylene,0.057,90,0.0,0.143669553
CsOPiv,tBPh-CPhos,p-Xylene,0.057,90,25.31,0.369473213
CsOPiv,PCy3 HBF4,p-Xylene,0.057,90,0.0,0.132628326
CsOPiv,PPh3,p-Xylene,0.057,90,0.01,0.126760446
CsOPiv,X-Phos,p-Xylene,0.057,90,34.98,0.135085434
KOAc,BrettPhos,DMAc,0.057,105,2.41,0.155894292
KOAc,PPhtBu2,DMAc,0.057,105,0.12,0.053328888
KOAc,tBPh-CPhos,DMAc,0.057,105,68.71,0.279237903
KOAc,PCy3 HBF4,DMAc,0.057,105,6.22,0.042305246
KOAc,PPh3,DMAc,0.057,105,27.82,0.036499598
KOAc,X-Phos,DMAc,0.057,105,55.4,0.044776461
KOPiv,BrettPhos,DMAc,0.057,105,0.0,0.154793045
KOPiv,PPhtBu2,DMAc,0.057,105,0.0,0.052234242
KOPiv,tBPh-CPhos,DMAc,0.057,105,18.42,0.277998628
