drug_input,solid_lipid,solid_lipid_input,liquid_lipid_input,surfractant_input,drug_loading,encap_efficiency,particle_diameter
6,Compritol_888,120,0,0.005,0.0198209197047411,0.4044539871173915,1.529022905270386
6,Compritol_888,120,0,0.01,0.0158981694371882,0.3231054742763935,1.7015855406741869
6,Compritol_888,120,12,0.0,0.0024720609771433,0.0487524339607678,1.121015227791487
6,Compritol_888,120,12,0.0025,0.014607589590497,0.3260810679433625,0.8787128871441325
6,Compritol_888,120,12,0.005,0.0150964777995694,0.2980902999120564,1.2574382334482137
6,Compritol_888,120,12,0.01,0.0168707156074485,0.3378656754715372,1.4970190018855252
6,Compritol_888,120,24,0.0,0.0024645405293409,0.0466140270609008,1.173401860425108
6,Compritol_888,120,24,0.0025,0.014148520208771,0.3145813090010787,0.9251427468685238
6,Compritol_888,120,24,0.005,0.0144864721471965,0.2985716591157243,1.2383816359342024
6,Compritol_888,120,24,0.01,0.0163810663601346,0.3406220497080401,1.4755807534392082
6,Compritol_888,120,48,0.0,0.0022657324677698,0.0443740678539911,1.254465756975953
6,Compritol_888,120,48,0.0025,0.0129748818981233,0.2999530482208136,0.997039921564734
6,Compritol_888,120,48,0.005,0.0134224128389825,0.2993013962835458,1.2277780694077198
6,Compritol_888,120,48,0.01,0.0154333086809357,0.3435072009172591,1.4193342334356835
6,Compritol_888,108,0,0.0,0.0026112587317774,0.0495605124851719,1.1259940601300544
6,Compritol_888,108,0,0.0025,0.0155224769550297,0.3300320685940938,0.8889405205504937
6,Compritol_888,108,0,0.005,0.0156530202687521,0.303821600422762,1.264814644610714
6,Compritol_888,108,0,0.01,0.0181777456151137,0.3445266571107698,1.489130587844858
6,Compritol_888,108,12,0.0,0.001442771315528,0.0289001618684241,1.445948596597984
6,Compritol_888,108,12,0.0025,0.0140355126219807,0.2847100820904151,1.0978725003736367
6,Compritol_888,108,12,0.005,0.0141119127287679,0.28628018841231,1.514981830139605
6,Compritol_888,108,12,0.01,0.0162196106011932,0.3297631530766798,1.6352873315985608
6,Compritol_888,108,24,0.0,0.002458331229939,0.0463709757693648,1.211609176417887
6,Compritol_888,108,24,0.0025,0.0144893609030799,0.3166140570232971,0.9499194599218757
6,Compritol_888,108,24,0.005,0.014815599706954,0.3068239149925944,1.2410411591948831
6,Compritol_888,108,24,0.01,0.0172257795421729,0.3507705792920998,1.4184338481258991
6,Compritol_888,108,48,0.0,0.0022947493758908,0.0437085572464462,1.2680723762635209
6,Compritol_888,108,48,0.0025,0.0132733589327869,0.2979978016143412,1.0324173826287657
6,Compritol_888,108,48,0.005,0.0140196143847993,0.3064896593167568,1.198521542565141
6,Compritol_888,108,48,0.01,0.0158126277340002,0.3506099545539732,1.4056444247580782
6,Compritol_888,96,0,0.0,0.0026727923607828,0.0499328149134996,1.1442202202872538
6,Compritol_888,96,0,0.0025,0.0159939180603678,0.3342594990654035,0.8959563065706583
6,Compritol_888,96,0,0.005,0.016322851121443,0.3106751055658724,1.25037312835985
6,Compritol_888,96,0,0.01,0.0188582819025532,0.3543283009237373,1.477499021314212
6,Compritol_888,96,12,0.0,0.0025936261804841,0.0477018132325457,1.175525921555396
6,Compritol_888,96,12,0.0025,0.0152712402671881,0.3226082409222982,0.9598485364848952
6,Compritol_888,96,12,0.005,0.0156779407422995,0.3117619181873795,1.228128508178047
6,Compritol_888,96,12,0.01,0.0181016956136002,0.3546150142675359,1.4289347019671808
6,Compritol_888,96,24,0.0,0.0012049719439314,0.0241308243727598,1.5909049651869127
6,Compritol_888,96,24,0.0025,0.0144212919007159,0.2926589779165221,0.7649130350632505
6,Compritol_888,96,24,0.005,0.0151516424053278,0.3077095920507314,0.8397544999920155
6,Compritol_888,96,24,0.01,0.0163897057103596,0.3333000449393319,1.4776806516290533
6,Compritol_888,96,48,0.0,0.0023177341268174,0.0439297486213171,1.3060593246161614
6,Compritol_888,96,48,0.0025,0.0136656363904587,0.2990360483733375,1.0472861624622185
6,Compritol_888,96,48,0.005,0.0142010261205114,0.314197028482078,1.1781743216799987
6,Compritol_888,96,48,0.01,0.0165041455897391,0.3607418359577632,1.3587005693852725
6,Compritol_888,72,0,0.0,0.0027630475191566,0.0485221193667891,1.2082430009606877
6,Compritol_888,72,0,0.0025,0.0173197246710044,0.3309363736222468,0.9892004782988856
6,Compritol_888,72,0,0.005,0.0171143772762714,0.3244234341025672,1.235795117384643
6,Compritol_888,72,0,0.01,0.020119918287824,0.366818080517503,1.428079352442634
6,Compritol_888,72,12,0.0,0.002702617110844,0.04779071307373,1.256977785730118
6,Compritol_888,72,12,0.0025,0.0164835971385386,0.3237260148305686,1.015079923989679
6,Compritol_888,72,12,0.005,0.0167182357731299,0.3264540959326719,1.1954671286240472
6,Compritol_888,72,12,0.01,0.0192000817673188,0.3718147391112689,1.406127409960295
6,Compritol_888,72,24,0.0,0.0025158116744404,0.0453408779375153,1.3110009821994482
6,Compritol_888,72,24,0.0025,0.0156255152617266,0.312515274262022,1.050906504287756
6,Compritol_888,72,24,0.005,0.0161561595753258,0.3261736164995952,1.1867420688970722
6,Compritol_888,72,24,0.01,0.0188213473093324,0.372817464596686,1.3891318104646115
6,Compritol_888,72,48,0.0,0.0013131159733134,0.0262987050526072,1.128182713766308
6,Compritol_888,72,48,0.0025,0.0160317592442895,0.3258998150075154,1.0969818104273084
6,Compritol_888,72,48,0.005,0.0150183584319404,0.3050049100381152,1.6043607139103064
6,Compritol_888,72,48,0.01,0.0184094047390304,0.37511858990363,0.9709896273793596
6,Glyceryl_monostearate,120,0,0.0,0.0032305143591025,0.0648243537514833,1.5107245886931722
6,Glyceryl_monostearate,120,0,0.0025,0.0057947091713799,0.1165839847811991,1.3569228547872398
6,Glyceryl_monostearate,120,0,0.005,0.0074140871870531,0.1851759961398423,3.568502583007592
6,Glyceryl_monostearate,120,0,0.01,0.0046541198919725,0.1571961442214353,3.6380512930838367
6,Glyceryl_monostearate,120,12,0.0,0.0032979547846305,0.0691565188968004,1.5541781468086917
6,Glyceryl_monostearate,120,12,0.0025,0.005747774823193,0.1126088281090315,2.1485097815877583
6,Glyceryl_monostearate,120,12,0.005,0.0069753143353151,0.1782858319519182,3.5660800148592657
6,Glyceryl_monostearate,120,12,0.01,0.0044348210877037,0.1572578894528686,3.638833113038488
6,Glyceryl_monostearate,120,24,0.0,0.0032061362987077,0.0681768075700746,1.5550859120682023
6,Glyceryl_monostearate,120,24,0.0025,0.0054396119522828,0.1058676482487707,2.190357104437294
6,Glyceryl_monostearate,120,24,0.005,0.0068035529191864,0.1744276377336871,3.569314965706326
6,Glyceryl_monostearate,120,24,0.01,0.0043377890203081,0.1511151646046198,3.638091844108068
6,Glyceryl_monostearate,120,48,0.0,0.0031599729495543,0.0659440522076367,1.5483461865252266
6,Glyceryl_monostearate,120,48,0.0025,0.0050194927259956,0.0992657115583931,2.2316579549738367
6,Glyceryl_monostearate,120,48,0.005,0.0062216205965211,0.1654493872794434,3.5759691474927644
6,Glyceryl_monostearate,120,48,0.01,0.0043880154228203,0.1554233202232039,3.6373574539719
6,Glyceryl_monostearate,108,0,0.0,0.0035410295762027,0.0727789387491371,1.512975671737289
6,Glyceryl_monostearate,108,0,0.0025,0.0061955629206174,0.1177179972559752,2.1782620121458085
6,Glyceryl_monostearate,108,0,0.005,0.0074125598172751,0.189154584543899,3.5761118200709325
6,Glyceryl_monostearate,108,0,0.01,0.0047300104423226,0.1570840261854243,3.63718727008665
6,Glyceryl_monostearate,108,12,0.0,0.0018217833467985,0.0365030462069218,1.439960781991647
6,Glyceryl_monostearate,108,12,0.0025,0.0055327687195585,0.1112824592309856,2.223645179709204
6,Glyceryl_monostearate,108,12,0.005,0.0071724934358448,0.1813032630227005,3.569692933682145
6,Glyceryl_monostearate,108,12,0.01,0.00468465637385,0.1591614041420506,3.63760671980401
6,Glyceryl_monostearate,108,24,0.0,0.0034411231478073,0.0695004586795824,1.5214027974372093
6,Glyceryl_monostearate,108,24,0.0025,0.005574835153636,0.1062653206690223,2.216242399038165
6,Glyceryl_monostearate,108,24,0.005,0.0067641982808791,0.177573330210106,3.578963501142947
6,Glyceryl_monostearate,108,24,0.01,0.0046666298318882,0.1617258036383405,3.637361650907128
6,Glyceryl_monostearate,108,48,0.0,0.003227962262896,0.0656779506514863,1.5236513054852123
6,Glyceryl_monostearate,108,48,0.0025,0.0051023256662518,0.0979052226246959,2.219556001302768
6,Glyceryl_monostearate,108,48,0.005,0.0064523274195056,0.1654499874143603,3.5872519373864904
6,Glyceryl_monostearate,108,48,0.01,0.0043153134191198,0.163445793091918,3.638182179801023
6,Glyceryl_monostearate,96,0,0.0,0.0036007925765675,0.072217207807373,1.545285304969565
6,Glyceryl_monostearate,96,0,0.0025,0.0063745930997772,0.117185242459081,2.1876650887904585
6,Glyceryl_monostearate,96,0,0.005,0.0076493887507583,0.1917255346166617,3.5796359492364704
6,Glyceryl_monostearate,96,0,0.01,0.0048365167580894,0.1575117114251962,3.6372302262701655
6,Glyceryl_monostearate,96,12,0.0,0.0035831728510473,0.0709411830645565,1.5794523669632368
6,Glyceryl_monostearate,96,12,0.0025,0.0059818245506895,0.110652702581235,2.185101202538218
6,Glyceryl_monostearate,96,12,0.005,0.0073565148220184,0.1832220263964424,3.580914673551272
6,Glyceryl_monostearate,96,12,0.01,0.0046014872383415,0.1601298074646238,3.637561348786394
6,Glyceryl_monostearate,96,24,0.0,0.0020508932373824,0.0411070026057914,1.655174304260727
6,Glyceryl_monostearate,96,24,0.0025,0.0039855143509032,0.0800313612507798,2.096790362874206
6,Glyceryl_monostearate,96,24,0.005,0.006965853998665,0.1793964291849891,3.5864450867476068
6,Glyceryl_monostearate,96,24,0.01,0.004745476743516,0.1590920243914513,3.636805552152108
6,Glyceryl_monostearate,96,48,0.0,0.0033995037596302,0.0671130093854427,1.5395550294220894
6,Glyceryl_monostearate,96,48,0.0025,0.0052840109112966,0.0979472101387302,2.210388069128638
6,Glyceryl_monostearate,96,48,0.005,0.0064592608937986,0.1616227231408651,3.587590836519906
6,Glyceryl_monostearate,96,48,0.01,0.0046519392881091,0.1644709231196828,3.636436115429132
6,Glyceryl_monostearate,72,0,0.0,0.0039817424410837,0.074604321171542,1.5327335545854532
6,Glyceryl_monostearate,72,0,0.0025,0.0066809574615971,0.1150167919424426,2.2138145465052808
6,Glyceryl_monostearate,72,0,0.005,0.0079786527250056,0.1874476657357907,3.5828615039021274
6,Glyceryl_monostearate,72,0,0.01,0.0049348660036064,0.1629272064214586,3.637085939932671
6,Glyceryl_monostearate,72,12,0.0,0.0037917136763916,0.0723917895537063,1.5133893446219513
6,Glyceryl_monostearate,72,12,0.0025,0.0063712275959613,0.1116531264676455,2.253562288169854
6,Glyceryl_monostearate,72,12,0.005,0.0075104222908692,0.1878366636008398,3.5859817462594954
6,Glyceryl_monostearate,72,12,0.01,0.0050430352326399,0.164381348996041,3.6361881111930425
6,Glyceryl_monostearate,72,24,0.0,0.0038279886815172,0.0710374553411111,1.551520785869411
6,Glyceryl_monostearate,72,24,0.0025,0.0059918914331434,0.1058526244293488,2.288535712224196
6,Glyceryl_monostearate,72,24,0.005,0.0071625836588323,0.1751824713345604,3.587750813474163
6,Glyceryl_monostearate,72,24,0.01,0.0048931718579188,0.1673254595662708,3.636510905627566
6,Glyceryl_monostearate,72,48,0.0,0.0024258402177783,0.0486407494403053,1.4332891514010873
6,Glyceryl_monostearate,72,48,0.0025,0.0045104793502247,0.0906344123512068,1.959340681923941
6,Glyceryl_monostearate,72,48,0.005,0.0066514339036608,0.1554271015275468,3.5842062143327054
6,Glyceryl_monostearate,72,48,0.01,0.0047404642736057,0.1704242884788198,3.6339515723437854
12,Stearic_acid,120,0,0.0,0.0056925240624518,0.0572545581009885,2.7549029048262
12,Stearic_acid,120,0,0.0025,0.021451910476692,0.2192299325164269,3.340808914375347
12,Stearic_acid,120,0,0.005,0.0279762272294732,0.2776274924188672,3.5848127575789075
12,Stearic_acid,120,0,0.01,0.0153148207491672,0.2269629459565041,3.635048247578864
12,Stearic_acid,120,12,0.0,0.003967898503004,0.0529617539793155,2.5453194588729646
12,Stearic_acid,120,12,0.0025,0.0216967833488014,0.226479856357644,3.4610255926635807
12,Stearic_acid,120,12,0.005,0.0270700290627257,0.2796883725998648,3.587176437056554
12,Stearic_acid,120,12,0.01,0.0154895831121162,0.2279303823589836,3.634977785893156
12,Stearic_acid,120,24,0.0,0.0039839773124344,0.0534097571752278,2.558395506891552
12,Stearic_acid,120,24,0.0025,0.0210600205916007,0.2247365732866906,3.462821060516441
12,Stearic_acid,120,24,0.005,0.0273249295180936,0.2789205025701145,3.587427198615233
12,Stearic_acid,120,24,0.01,0.0154210038038628,0.2343193729690988,3.6334634720662935
12,Stearic_acid,120,48,0.0,0.0040553191524217,0.0536179277690534,2.6102009176914267
12,Stearic_acid,120,48,0.0025,0.0214322087988814,0.2335422972851447,3.473137436899156
12,Stearic_acid,120,48,0.005,0.0257406398334651,0.2763335624069316,3.584316909708676
12,Stearic_acid,120,48,0.01,0.0147453660272268,0.2335611987531893,3.63341317076239
12,Stearic_acid,108,0,0.0,0.0041487275220849,0.0534195309964077,2.5566882240200264
12,Stearic_acid,108,0,0.0025,0.0227513021807777,0.2328481945189305,3.461413740480908
12,Stearic_acid,108,0,0.005,0.0280224461423358,0.2838533997962558,3.58599266912688
12,Stearic_acid,108,0,0.01,0.0155779047954635,0.2349428545436959,3.636384867928213
12,Stearic_acid,108,12,0.0,0.0074741365901092,0.0753093737050849,2.481678344859917
12,Stearic_acid,108,12,0.0025,0.0238555921084276,0.2443882821286923,3.3636320334312018
12,Stearic_acid,108,12,0.005,0.0278582188418128,0.2817518155943408,3.581894794341744
12,Stearic_acid,108,12,0.01,0.0158551819597386,0.2364250232890769,3.63441066752259
12,Stearic_acid,108,24,0.0,0.0042336896247983,0.054920279629504,2.5874162168638923
12,Stearic_acid,108,24,0.0025,0.0224489896380831,0.2352108615189345,3.4825160643160213
12,Stearic_acid,108,24,0.005,0.0280620964948994,0.285537174557078,3.583568119576215
12,Stearic_acid,108,24,0.01,0.0156155790369305,0.2375633379090662,3.635326017354188
12,Stearic_acid,108,48,0.0,0.0042767228899874,0.0552944093652619,2.659573003882427
12,Stearic_acid,108,48,0.0025,0.0222908570432955,0.2374439735592089,3.476220377035541
12,Stearic_acid,108,48,0.005,0.0269731738777323,0.2836928863315995,3.5773966859589983
12,Stearic_acid,108,48,0.01,0.014715304949398,0.2350510411025429,3.634890751247456
12,Stearic_acid,96,0,0.0,0.0043185580378741,0.0551380015439327,2.546076849916945
12,Stearic_acid,96,0,0.0025,0.0241007872994771,0.2411991121310397,3.4666615755183137
12,Stearic_acid,96,0,0.005,0.0290553008042057,0.2853231374404386,3.580195997251425
12,Stearic_acid,96,0,0.01,0.0162033702632483,0.2392256558993247,3.634321548921501
12,Stearic_acid,96,12,0.0,0.0044505885870966,0.0555503031568799,2.567777441160563
12,Stearic_acid,96,12,0.0025,0.0242791286774227,0.2432837519797982,3.4836207870631366
12,Stearic_acid,96,12,0.005,0.0290247121987,0.2880692517066061,3.583602767027658
12,Stearic_acid,96,12,0.01,0.0158201536704186,0.2447641614916127,3.634790684624461
12,Stearic_acid,96,24,0.0,0.0065835958496055,0.0662819659030367,2.581918687679123
12,Stearic_acid,96,24,0.0025,0.0259102787783194,0.2659948647368732,3.577406809206227
12,Stearic_acid,96,24,0.005,0.028409012732917,0.288776453029385,3.582447212796716
12,Stearic_acid,96,24,0.01,0.015519081807267,0.2381120796899962,3.635272182807441
12,Stearic_acid,96,48,0.0,0.0047903144933122,0.0587318269194028,2.8298715105490104
12,Stearic_acid,96,48,0.0025,0.0244283007556794,0.2473691737645743,3.4684355072305197
12,Stearic_acid,96,48,0.005,0.027711120165114,0.2937878759435671,3.577054377420387
12,Stearic_acid,96,48,0.01,0.0151666116543339,0.2371292466556051,3.633243052665889
12,Stearic_acid,72,0,0.0,0.0050141448122117,0.0583050050342601,2.5930229392047903
12,Stearic_acid,72,0,0.0025,0.0272756464154988,0.2588794144823113,3.47671586306765
12,Stearic_acid,72,0,0.005,0.0306684136459136,0.2974882345859342,3.5760324420747
12,Stearic_acid,72,0,0.01,0.0173503699551381,0.249635292668909,3.634119954778277
12,Stearic_acid,72,12,0.0,0.005047842927549,0.0601523260297646,2.6727306376902824
12,Stearic_acid,72,12,0.0025,0.0276708209203874,0.2631818640436987,3.477071257762528
12,Stearic_acid,72,12,0.005,0.0302929132116807,0.3008012079940216,3.581663508187887
12,Stearic_acid,72,12,0.01,0.0168665969230929,0.2457302589033321,3.633934885220965
12,Stearic_acid,72,24,0.0,0.0055949209798334,0.0627515985853047,2.83170030814336
12,Stearic_acid,72,24,0.0025,0.0276463290093407,0.2661439308138422,3.480960516422911
12,Stearic_acid,72,24,0.005,0.0298049726668773,0.2987840197120767,3.575986039721688
12,Stearic_acid,72,24,0.01,0.0163732863679899,0.2502548014097022,3.633314185783835
12,Stearic_acid,72,48,0.0,0.0050851608248084,0.051112960989759,2.9722676073210086
12,Stearic_acid,72,48,0.0025,0.031798968638517,0.3284467678920262,3.430530030470736
12,Stearic_acid,72,48,0.005,0.0308599249359705,0.3147680145715582,3.583192576109312
12,Stearic_acid,72,48,0.01,0.0160278404996368,0.2502206328506113,3.634236522767625
12,Compritol_888,120,0,0.0,0.006253693115083,0.0629383454734651,0.5173894612643266
12,Compritol_888,120,0,0.0025,0.0383206302848811,0.3985262747138398,0.4305856267307667
12,Compritol_888,120,0,0.005,0.0416599982678332,0.4347256204124433,1.5494410162744685
12,Compritol_888,120,0,0.01,0.0372942739699882,0.3873936851916579,1.8077631644077965
12,Compritol_888,120,12,0.0,0.0051866510745572,0.0626345389408384,1.189372537717502
12,Compritol_888,120,12,0.0025,0.0376423689648855,0.4036834207815857,0.9705978797542938
12,Compritol_888,120,12,0.005,0.0400900667323673,0.4067010779229686,1.132553388084416
12,Compritol_888,120,12,0.01,0.0384738143088568,0.4216575238548952,1.4311021452147634
12,Compritol_888,120,24,0.0,0.0050340582736247,0.060844558173032,1.2016085712788134
12,Compritol_888,120,24,0.0025,0.0359866247633664,0.3974518008096841,0.9941873637125098
12,Compritol_888,120,24,0.005,0.03908060689384,0.4070702291445703,1.1256856129640769
12,Compritol_888,120,24,0.01,0.0380249822566712,0.4206339340374162,1.380987735054647
12,Compritol_888,120,48,0.0,0.0045474987965634,0.0579418786799387,1.2868987441135944
12,Compritol_888,120,48,0.0025,0.0312519272918353,0.3843164761521605,1.0232282447089514
12,Compritol_888,120,48,0.005,0.0360111946832253,0.4021605865900903,1.1225290049079255
12,Compritol_888,120,48,0.01,0.0375833111054185,0.4302689094791697,1.3212621371505275
12,Compritol_888,108,0,0.0,0.005708619595566,0.0654935435040832,1.167328168814447
12,Compritol_888,108,0,0.0025,0.0402782160624243,0.4124122325573194,0.9717218800562428
12,Compritol_888,108,0,0.005,0.0426711372890378,0.41611871550604,1.141322097679221
12,Compritol_888,108,0,0.01,0.0390601897283154,0.4197506166694214,1.43303053584986
12,Compritol_888,108,12,0.0,0.005961776550254,0.059975575211007,1.35833911139627
12,Compritol_888,108,12,0.0025,0.0359262461307401,0.3726562319343277,1.258416967246106
12,Compritol_888,108,12,0.005,0.0381612733950215,0.3967560460045605,1.224250692365339
12,Compritol_888,108,12,0.01,0.0378913179691786,0.3938433115294353,1.7360053283166328
12,Compritol_888,108,24,0.0,0.005170305579883,0.0610639459208581,1.283642132804493
12,Compritol_888,108,24,0.0025,0.0358998461577245,0.39894508336383,1.019213015105446
12,Compritol_888,108,24,0.005,0.0391780791215101,0.4099011096859085,1.139376439432337
12,Compritol_888,108,24,0.01,0.0388031328234803,0.4260902887447267,1.3489970471313062
12,Compritol_888,108,48,0.0,0.0046143491057352,0.0581001425659357,1.3305387218632074
12,Compritol_888,108,48,0.0025,0.031834949902414,0.3847984404980514,1.042725861942833
12,Compritol_888,108,48,0.005,0.036402700411396,0.40592092107662,1.1222445662818583
12,Compritol_888,108,48,0.01,0.0380453275290831,0.4306625323332869,1.3196282687185854
12,Compritol_888,96,0,0.0,0.0058320756621617,0.0659079416251221,1.2022177284184572
12,Compritol_888,96,0,0.0025,0.0404639142978839,0.4134894802967692,0.9990662568937836
12,Compritol_888,96,0,0.005,0.0438788598806986,0.4209323676303931,1.1233303936293757
12,Compritol_888,96,0,0.01,0.0407824365244825,0.4244041314334481,1.3857395258230545
12,Compritol_888,96,12,0.0,0.0055409435003346,0.0623662306694968,1.2449725676428596
12,Compritol_888,96,12,0.0025,0.0382827146397664,0.4053483200381731,1.0091967399085942
12,Compritol_888,96,12,0.005,0.0420022868024123,0.4172385542790089,1.1290114127530868
12,Compritol_888,96,12,0.01,0.0400332040351938,0.4276227206439532,1.3511810807535494
12,Compritol_888,96,24,0.0,0.0082338386511018,0.0830273731067175,0.997064403633493
12,Compritol_888,96,24,0.0025,0.0402,0.4203232826939162,1.2975839861191345
12,Compritol_888,96,24,0.005,0.0375246838372568,0.3898903147417653,1.0338832746648865
12,Compritol_888,96,24,0.01,0.0393532057815693,0.4096552986801152,1.3465452995351812
12,Compritol_888,96,48,0.0,0.0046736931246125,0.0570791807032791,1.363928450598198
12,Compritol_888,96,48,0.0025,0.0325195183348185,0.3873513651031651,1.0289117560652918
12,Compritol_888,96,48,0.005,0.0377053892294094,0.4103382901690908,1.1202876862157714
12,Compritol_888,96,48,0.01,0.0390697903597097,0.4390732562829721,1.272366092546224
12,Compritol_888,72,0,0.0,0.0061034248314545,0.0647231432083446,1.2708150366702324
12,Compritol_888,72,0,0.0025,0.0410207200262477,0.4149881499705273,1.0012705074955048
12,Compritol_888,72,0,0.005,0.0458075991877299,0.4297063356640495,1.0936217863334117
12,Compritol_888,72,0,0.01,0.0419583843639945,0.4366291827247794,1.316355443868911
